日,"び,じつ,ひ,か,にち"
速,"そく,すみ,はやい,すみやか,はや,はやめる"
存,"そん,ぞん"
飛,"と,とぶ,とばす,ひ"
殺,"ころす,ごろ,さつ,さい,せつ,ころ,そ,ころし"
号,"さけ,よびな,ごう"
単,"ひとえ,たん"
座,"すわ,すわる,ざ"
破,"やぶれる,は,わ,やぶ,やぶる"
除,"じ,じょ,のぞ,よ,のぞく"
完,かん
降,"くだ,お,ふる,ご,おりる,ふり,ふ,おろす,こう"
責,"せ,せめる,せき"
捕,"と,ほ,とらわれる,とら,つかまる,とらえる,つか,とる,つかまえる"
危,"あぶない,あや,き,あやぶむ,あぶ,あやうく,あやうい"
給,"たま,たも,きゅう"
苦,"くる,くるしむ,にが,くるしめる,くるしい,ぐる,にがい,く,にがる"
迎,"むか,むかえる,げい"
園,"その,えん"
具,"そな,つぶさ,ぐ"
辞,"や,やめる,いな,じ"
因,"よる,よ,ちな,いん"
馬,"うま,ま,ば"
愛,"め,お,あい,いと,かな,いとおしむ,いとしい,まな"
富,"と,とみ,とむ,ふ,ふう"
彼,"かれ,かの,か,ひ"
未,"み,び,ま,まだ,いまだ,ひつじ,いま"
舞,"ま,まう,まい,ぶ"
亡,"な,なくなる,なくす,ほろ,ぼう,ない,なき,もう"
冷,"ひややか,さめる,つめ,つめたい,さます,ひやす,ひやかす,さ,ひや,ひ,ひえる,れい"
適,"かな,てき"
婦,"よめ,ふ"
寄,"き,よせる,よる,よ,より"
込,"こ,こむ,こめる"
顔,"かお,がん"
類,"たぐ,るい"
余,"あま,あまる,あんま,よ,あまり,あます"
王,"おう,のう"
返,"かえ,かえす,かえる,へん,かえり"
妻,"つま,さい"
背,"そむ,せ,そむく,そむける,せい,はい"
熱,"あつ,あつい,ねつ"
宿,"やど,やどる,やどす,しゅく"
薬,"くすり,やく"
険,"けわ,けわしい,けん"
頼,"らい,たよる,たのむ,たよ,たのもしい,たの"
覚,"さめる,おぼえる,おぼ,さます,かく,さ,さと"
船,"ふね,ふな,せん"
途,"みち,と"
許,"ゆる,もと,ゆるし,ゆるす,きょ"
抜,"ぬき,ぬける,ばつ,はつ,はい,ぬ,ぬく,ぬかす,ぬかる"
便,"たより,たよ,びん,べん"
留,"とめる,とどめる,と,とどまる,りゅう,とど,とまる,る,るうぶる"
罪,"つみ,ざい"
努,"つと,つとめる,つとめて,ど"
精,"せい,しょう,しやう"
散,"ちらかす,ち,ちる,ちらかる,ちらす,ちらばす,さん,ばら,ちらばる"
静,"しずか,しずめる,せい,しずまる,じょう,しず"
婚,こん
喜,"よろこ,き,よろこび,よろこばす,よろこぶ"
浮,"うかれる,うかべる,うかぶ,う,ふ,む,うく"
絶,"た,ぜつ,たやす,たつ,たえる"
幸,"さいわ,しあわ,さち,さいわい,しあわせ,こう"
押,"お,おす,おさえる,おさ,おう"
倒,"さかしま,たおれる,とう,さかさ,さかさま,たおす,たお,だお"
等,"など,ら,とう,ひと,ひとしい"
老,"ろう,ふける,お,ふ,おいる"
曲,"くま,ま,きょく,まげる,まがる"
払,"ひつ,はらう,はら,ふつ,ばら,ほつ,はらい"
庭,"にわ,てい"
徒,"いたずら,あだ,と"
勤,"ごん,づと,つとめる,いそ,つと,きん,つとまる"
遅,"ち,おくれる,おそい,おそ,おく,おそく,おくらす"
居,"こ,い,お,いる,きょ,おる"
雑,"まじ,ざつ,ぞう"
招,"まね,まねく,まねき,しょう"
困,"こま,こまる,こん"
欠,"かける,かかす,けん,かく,か,けつ"
更,"ふかす,ふける,さら,ふ,さらに,こう"
刻,"きざ,きざむ,きざみ,こく"
賛,"たす,たた,さん"
抱,"かかえる,かか,いだ,ほう,だく,だ,いだく"
犯,"おか,おかす,はん,ぼん"
恐,"こわ,おそれる,おそろしい,おそる,おそ,きょう"
息,"いき,そく"
遠,"とおい,とお,えん,とおく,おん"
戻,"もど,もどす,もどる,れい"
願,"ねが,ねがう,ねがい,がん"
絵,"かい,え"
越,"こ,おつ,ご,こす,こえる,えつ"
欲,"ほ,ほっする,ほしい,ほっ,よく"
痛,"いた,いためる,いたみ,いたむ,つう,いたい,いたましい"
笑,"わらい,えみ,わらう,しょう,えむ,え,わら"
互,"たが,たがい,かたみ,ご"
束,"たば,たばねる,つか,そく"
似,"にる,に,ひ,じ"
列,"れつ,れ"
探,"さがす,さぐる,さが,さぐ,たん"
逃,"とう,のがれる,のがす,のが,にげる,にがす,に"
遊,"あそ,あそび,ゆ,ゆう,あそぶ"
迷,"まよ,まよう,まよい,めい"
夢,"ゆめ,くら,む,ぼう"
君,"きみ,ぎみ,くん"
閉,"た,しまる,と,し,しめる,とざす,とじる,へい"
緒,"お,いとぐち,しょ,ちょ"
折,"お,せつ,おり,おれる,おる"
草,"くさ,ぐさ,そう"
暮,"く,くれる,くらす,ぼ"
酒,"さけ,さか,しゅ"
悲,"かなしみ,かなしい,かなしさ,かな,かなしむ,ひ"
晴,"はれる,せい,ば,は,はれ,はらす"
掛,"かかる,かける,かかり,かい,がかり,が,か,かけ,けい"
到,"いた,いたる,とう"
寝,"い,ねる,ね,ねかせる,ねかす,みたまや,しん,や"
暗,"くらさ,くれ,くらい,くら,あん"
盗,"ぬす,ぬすむ,ぬすみ,とう"
吸,"す,すう,きゅう"
陽,"ひ,よう"
御,"み,ぎょ,お,ご,おん"
歯,"は,よわい,よわ,し"
忘,"わす,わすれる,ぼう"
雪,"ゆき,せつ"
吹,"ふ,ふく,すい"
娘,"むすめ,こ,じょう"
誤,"あやま,あやまる,あやまり,ご"
洗,"あらう,あら,せん"
慣,"なれる,ならす,な,かん"
礼,"れい,らい"
窓,"てんまど,そう,まど,けむだし,す"
昔,"むかし,せき,しゃく"
貧,"ひん,まず,まずしい,まずしさ,びん"
怒,"おこる,おこ,いか,ど,ぬ,いかる"
泳,"およ,およぐ,およぎ,えい"
祖,そ
杯,"さかずき,はい"
疲,"つかれ,づか,つか,つかれる,ひ"
皆,"みな,みんな,かい"
鳴,"な,なる,なく,めい,ならす"
腹,"はら,ふく"
煙,"けむる,けむい,けむり,けむ,えん"
眠,"ねむ,ねむい,ねむる,みん"
怖,"こわがる,こわ,お,ほ,こわい,おそ,ふ"
耳,"みみ,じ"
頂,"いただ,いただく,いただき,ちょう"
箱,"はこ,そう"
晩,ばん
寒,"さむ,さむい,かん"
髪,"かみ,はつ"
忙,"いそが,おそ,せわ,ぼう,うれえるさま,いそがしい,もう"
才,さい
靴,"くつ,か"
恥,"ち,はじらい,はじ,は,はずかしい,はじる,はじらう"
偶,"たま,ぐう"
偉,"えら,えらい,い"
猫,"ねこ,びょう"
幾,"いく,いくつ,いくら,き"
党,"なかま,むら,とう"
協,きょう
総,"す,すべ,ふさ,そう"
区,"く,おう,こう"
領,"えり,りょう"
県,"か,けん"
設,"もう,もうける,せつ"
改,"あらた,あらためる,あらたまる,かい"
府,ふ
査,さ
委,"ゆだ,い"
軍,"いくさ,ぐん"
団,"かたまり,まる,だん,とん"
各,"おのおの,かく"
島,"しま,とう"
革,"かわ,かく"
村,"むら,そん"
勢,"いきお,はずみ,いきおい,せい,ぜい"
減,"へ,へる,へらす,げん"
再,"ふたた,ふたたび,さい,さ"
税,ぜい
営,"いとな,いとなむ,いとなみ,えい"
比,"くらべる,くら,ひ"
防,"ふせ,ふせぐ,ぼう"
補,"おぎな,おぎなう,ほ"
境,"さかい,きょう,けい"
導,"みちび,みちびく,みちびき,どう"
副,ふく
算,"そろ,さん"
輸,"ゆ,しゅ"
述,"の,のべる,じゅつ"
線,"すじ,せん"
農,のう
州,"す,しゅう"
武,"たけ,ぶ,む"
象,"かたど,しょう,ぞう"
域,いき
額,"ひたい,がく"
欧,"うた,は,おう"
担,"になう,にな,かつぐ,かつ,たん"
準,"のり,なぞら,じゅん,ひと,みずもり"
賞,"ほ,しょう"
辺,"へん,あたり,べ,ほと,あた"
造,"ぞう,つくり,づく,つくる,つく"
被,"こうむ,おお,かぶ,ひ"
技,"わざ,ぎ"
低,"てい,ひくめる,ひくい,ひく,ひくまる"
復,"また,ふく"
移,"うつ,うつす,うつる,い"
個,"こ,か"
門,"かど,と,もん"
課,か
脳,"のうずる,のう,どう"
極,"ぎ,きわ,き,きわまる,きわまり,きょく,きわみ,きわめる,ごく"
含,"ふく,ふくめる,がん,ふくむ,ふくみ"
蔵,"ぞう,そう,かく,くら,おさ"
量,"はかる,はかり,はか,りょう"
型,"かた,がた,けい"
況,"まし,いわ,おもむき,きょう"
針,"はり,しん"
専,"もっぱら,もっぱ,せん"
谷,"たに,きわ,こく"
史,し
階,"きざはし,かい"
管,"くだ,かん"
兵,"つわもの,へい,ひょう"
接,"つ,つぐ,せつ,しょう"
細,"こま,ほそ,さい,ほそる,こまかい,ほそい"
効,"ききめ,きく,なら,き,こう"
丸,"まる,まるい,まるめる,がん"
湾,"いりえ,わん"
録,"しる,と,ろく"
省,"せい,かえりみる,はぶ,しょう,かえり,はぶく"
旧,"ふる,もと,きゅう"
橋,"はし,きょう"
岸,"きし,がん"
周,"まわ,まわり,しゅう"
材,ざい
戸,"と,こ"
央,おう
券,けん
編,"あ,あむ,あみ,へん"
捜,"そう,さがす,さが,しゅ,しゅう"
竹,"たけ,ちく"
超,"こ,こえる,こす,ちょう"
並,"な,なら,ほう,ならびに,ならぶ,ならべる,なみ,ならび,へい"
療,りょう
採,"と,とる,さい"
森,"もり,しん"
競,"きそう,きそ,せ,せる,くら,けい,きょう"
介,かい
根,"ね,こん"
販,はん
歴,"れき,れっき"
将,"そう,ひきい,はた,もって,しょう,まさ"
幅,"はば,ふく"
般,はん
貿,ぼう
講,こう
